Usia,Domisili,Nama Program,Harga Kelas,Kategori,Sub Kategori  1 (Tujuan),Sub Kategori 2 (Minat lain),Sub Kategori 3 (Minat lain),Sub Kategori 4 (Minat lain),Usia_Clean,Age_Group,Region,Price_Segment,Kategori_encoded,Region_encoded,Sub1_encoded,Sub2_encoded,Cluster
34.0,Lombok,Bacimay,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,34.0,Dewasa (26-35),Lainnya,Standard (31-65k),5,6,8,1,1
38.0,Kota Tarakan,Bacimay,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,38.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),5,6,8,1,1
27.0,Bengkulu Kota,Bacimay,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,27.0,Dewasa (26-35),Lainnya,Standard (31-65k),5,6,8,1,1
23.0,Merauke,Bacimay,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,23.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),5,6,8,1,1
36.0,Cileungsi,Bacimay,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,36.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),5,6,8,1,1
24.0,Cilacap,Bacimay,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,24.0,Dewasa Muda (18-25),Jawa Tengah,Standard (31-65k),5,3,8,1,1
36.0,Batam,Bacimay,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,36.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),5,6,8,1,1
36.0,Palembang,Bacimay,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,36.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),5,6,8,1,1
34.0,Batam,Bacimay,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,34.0,Dewasa (26-35),Lainnya,Standard (31-65k),5,6,8,1,1
39.0,Bantul,Bacimay,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,39.0,Dewasa Menengah (36-45),DIY,Standard (31-65k),5,0,8,1,1
42.0,Sidoarjo,Bacimay,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,42.0,Dewasa Menengah (36-45),Jawa Timur,Standard (31-65k),5,4,8,1,1
38.0,Ngrambe Ngawi,Bacimay,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,38.0,Dewasa Menengah (36-45),Jawa Timur,Standard (31-65k),5,4,8,1,1
